Number,Time (h)
27503,4.114166666666667
2463,4.116388888888889
6358,4.153888888888889
10336,4.204166666666667
8941,4.226666666666667
8423,4.228611111111111
8743,4.229722222222223
8834,4.276111111111111
8924,4.276666666666666
6490,4.276666666666666
8718,4.283888888888889
45827,4.284166666666667
8999,4.300833333333333
8935,4.344166666666666
27528,4.355
39370,4.408333333333333
8929,4.408888888888889
27529,4.422777777777778
2459,4.424722222222222
8808,4.426111111111111
9762,4.426666666666667
10373,4.456388888888889
8865,4.460833333333333
2468,4.4675
9516,4.468055555555556
10706,4.474722222222222
8910,4.4752777777777775
8902,4.476944444444444
6094,4.487222222222222
28225,4.493888888888889
52198,4.512777777777778
28445,4.525833333333333
8780,4.529444444444445
6271,4.543333333333333
8773,4.548333333333334
6310,4.552777777777778
8906,4.560555555555555
26737,4.5616666666666665
6301,4.564166666666667
28079,4.567222222222222
8932,4.575
8814,4.578611111111111
8798,4.5841666666666665
23153,4.59
8857,4.5936111111111115
28005,4.594444444444444
8889,4.5975
8878,4.6002777777777775
8771,4.601666666666667
8833,4.609444444444445
2486,4.61
8800,4.632777777777778
8742,4.632777777777778
25283,4.633611111111112
9048,4.639722222222222
28245,4.640555555555555
8933,4.641388888888889
8816,4.643055555555556
28345,4.647222222222222
2195,4.650555555555556
2494,4.654444444444445
9716,4.6627777777777775
9375,4.666111111111111
9103,4.667777777777777
8863,4.671666666666667
6321,4.681111111111111
6145,4.6825
24779,4.686111111111111
9133,4.688055555555556
9821,4.688055555555556
1578,4.690277777777778
8793,4.6925
8853,4.6925
8716,4.6947222222222225
27279,4.703611111111111
27847,4.705555555555556
8819,4.710833333333333
9169,4.711666666666667
26738,4.7122222222222225
8947,4.714166666666666
9537,4.714444444444444
2446,4.716388888888889
9462,4.723055555555556
32731,4.723055555555556
9147,4.730277777777777
9512,4.731111111111111
8766,4.7347222222222225
9148,4.736666666666666
27352,4.740833333333333
9497,4.743888888888889
9019,4.749722222222222
9320,4.753055555555555
8797,4.759444444444444
24536,4.764722222222222
6347,4.768888888888889
8848,4.777222222222222
8868,4.779444444444445
25685,4.781944444444444
8858,4.787222222222223
8787,4.7877777777777775
8882,4.792222222222222
7478,4.795555555555556
9107,4.796111111111111
26667,4.7972222222222225
28135,4.805833333333333
46397,4.808611111111111
8704,4.810555555555555
6450,4.811388888888889
9189,4.8116666666666665
9086,4.814722222222223
8746,4.815555555555555
25919,4.816111111111111
8740,4.819444444444445
8824,4.821111111111112
24433,4.821666666666666
28078,4.8261111111111115
2070,4.826388888888889
25363,4.828055555555555
8807,4.829444444444444
9229,4.833055555555555
8856,4.8341666666666665
9351,4.841111111111111
9008,4.841944444444445
52248,4.841944444444445
6013,4.843333333333334
8706,4.844444444444444
9930,4.846388888888889
6801,4.8469444444444445
7662,4.8475
6368,4.847777777777778
2048,4.848333333333334
7037,4.849444444444444
2595,4.851111111111111
33438,4.853888888888889
9529,4.855555555555555
8871,4.856111111111111
6061,4.8566666666666665
8931,4.857777777777778
10881,4.859166666666667
2456,4.862222222222222
34508,4.863888888888889
8831,4.865
32872,4.865
6160,4.8725000000000005
2537,4.875555555555556
2586,4.876111111111111
36503,4.876666666666667
8784,4.883055555555556
8756,4.883611111111112
52972,4.888333333333334
9573,4.8902777777777775
45704,4.8925
2609,4.892777777777778
9097,4.893888888888889
27506,4.894722222222223
27798,4.895277777777777
6499,4.895833333333333
8381,4.898611111111111
6124,4.906388888888889
8774,4.908333333333333
26651,4.909166666666667
41234,4.9094444444444445
8873,4.91
8927,4.910277777777778
7358,4.910277777777778
9515,4.911666666666667
6071,4.913055555555555
6350,4.914166666666667
30802,4.915
7178,4.915555555555556
26901,4.918055555555555
26898,4.918055555555555
26899,4.918055555555555
28471,4.918055555555555
6287,4.918333333333333
6328,4.919444444444444
8843,4.929166666666666
9313,4.930555555555555
9161,4.933055555555556
27135,4.938888888888889
8796,4.939166666666667
2531,4.942222222222222
24426,4.945555555555556
27299,4.9463888888888885
27298,4.948333333333333
9036,4.948611111111111
26885,4.951944444444444
8738,4.955555555555556
8794,4.959444444444444
8825,4.96
6233,4.96
2506,4.961111111111111
9742,4.965
8838,4.966666666666667
9194,4.967777777777778
8867,4.971111111111111
9142,4.971111111111111
32362,4.977222222222222
9273,4.979722222222223
26761,4.98
24727,4.980277777777777
2626,4.985833333333333
9292,4.987222222222222
7398,4.9875
27508,4.988888888888889
6394,4.9944444444444445
9483,4.995555555555556
25805,4.997777777777777
36619,4.998055555555555
6186,4.998055555555555
6341,5.002222222222223
6114,5.0025
2507,5.004166666666666
